x,Astaxanthin
350.253,0.06726
362.568,0.06482
374.373,0.07758
386.693,0.09794
397.988,0.1259
407.745,0.1665
415.965,0.2147
423.158,0.26542
429.839,0.31867
435.494,0.37444
441.149,0.43021
446.804,0.48852
452.459,0.54682
458.114,0.6026
463.77,0.6609
469.938,0.71668
477.131,0.7674
486.376,0.81054
498.179,0.81316
507.922,0.77018
515.097,0.71957
518.17,0.68667
522.778,0.62844
527.386,0.56769
531.481,0.50946
535.575,0.4487
540.183,0.39047
544.277,0.32971
548.372,0.27148
552.98,0.21326
558.615,0.15504
566.816,0.10445
575.019,0.06145
579.633,0.03616
