sample_name,year,station,sample,tube_nb,calanus_type,mass_mg,asta_ng_mg
AR_p21,2018,AR,p21,1,L,5.6,2.865
AR_p22,2018,AR,p22,2,L,5.1,3.241
AR_p23,2018,AR,p23,3,L,5.2,3.035
AR_p24,2018,AR,p24,4,S,2.3,1.472
AR_p25,2018,AR,p25,5,S,1.8,1.334
AR_p26,2018,AR,p26,6,L,6.2,2.615
AR_p27,2018,AR,p27,7,L,6.9,2.34
AR_p28,2018,AR,p28,8,S,3.1,1.588
AR_p29,2018,AR,p29,9,S,3,1.398
AR_p30,2018,AR,p30,10,S,2.8,1.397
F_p51,2018,F,p51,11,L,7.2,1.708
F_p52,2018,F,p52,12,L,6.2,2.075
F_p53,2018,F,p53,13,L,4.6,1.206
F_p54,2018,F,p54,14,S,2.7,0.912
F_p55,2018,F,p55,15,S,2.5,1.202
F_p56,2018,F,p56,16,L,3.9,2.092
F_p57,2018,F,p57,17,L,4.1,2.077
F_p58,2018,F,p58,18,S,1.2,2.17
F_p59,2018,F,p59,19,S,2,1.134
F_p60,2018,F,p60,20,S,3.1,0.929
G_p81,2018,G,p81,21,L,6.9,0.606
G_p82,2018,G,p82,22,L,6.1,0.525
G_p83,2018,G,p83,23,L,4.4,0.706
G_p84,2018,G,p84,24,S,0.7,0.507
G_p85,2018,G,p85,25,S,1.7,0.499
G_p86,2018,G,p86,26,S,1.5,0.229
G_p87,2018,G,p87,27,L,4.2,0.431
G_p88,2018,G,p88,28,L,5.1,0.798
G_p89,2018,G,p89,29,S,0.6,1.362
G_p90,2018,G,p90,30,S,1.4,0.347
AT_p101,2018,AT,p101,31,S,4,1.948
AT_p102,2018,AT,p102,32,S,4,2.011
AT_p103,2018,AT,p103,33,S,4.1,2.131
AT_p104,2018,AT,p104,34,S,3.8,2.44
AT_p105,2018,AT,p105,35,S,3.9,3.191
AT_p116,2018,AT,p116,36,s-cvif,2.9,7.491
AT_p117,2018,AT,p117,37,s-cvif,2.7,6.443
AT_p118,2018,AT,p118,38,s-cvif,3.1,6.993
AT_p119,2018,AT,p119,39,s-cvif,2.8,7.74
AT_p120,2018,AT,p120,40,s-cvif,3.5,7.488
B_S_A1,2019,B,A1,1,S,3.063,3.544
B_S_A2,2019,B,A2,2,S,3.088,2.251
B_S_A3,2019,B,A3,3,S,3.947,2.97
B_S_A4,2019,B,A4,4,S,3.755,4.849
B_L_A1,2019,B,A1,5,L,2.66,2.362
B_L_A2,2019,B,A2,6,L,1.69,2.164
B_L_A3,2019,B,A3,7,L,3.8,2.399
H_L_A1,2019,H,A1,8,L,7.832,4.779
H_L_A2,2019,H,A2,9,L,7.471,4.336
H_L_A3,2019,H,A3,10,L,6.413,3.557
H_S_A1,2019,H,A1,11,S,2.73,4.813
H_S_A2,2019,H,A2,12,S,3.98,3.027
H_S_A3,2019,H,A3,13,S,2.828,3.988
ISF_L_A,2019,ISF,A,14,L,7.298,4.398
ISF_L_B,2019,ISF,B,15,L,6.682,5.473
ISF_L_C,2019,ISF,C,16,L,6.109,6.613
ISF_L_D,2019,ISF,D,17,L,7.804,6.148
ISF_S_A,2019,ISF,A,18,S,2.158,10.828
ISF_S_B,2019,ISF,B,19,S,3.067,6.008
ISF_S_C,2019,ISF,C,20,S,2.492,7.262
ISF_S_D,2019,ISF,D,21,S,1.667,6.444
K_G_A,2019,K,A,22,G,4.532,3.143
K_G_B,2019,K,B,23,G,5.043,5.346
K_G_C,2019,K,C,24,G,5.675,6.007
K_S_A1,2019,K,A1,25,S,1.779,10.734
K_S_B,2019,K,B,26,S,2.325,9.125
K_S_C,2019,K,C,27,S,2.142,6.189
K_L_A1,2019,K,A1,28,L,3.303,2.813
K_L_B,2019,K,B,29,L,3.384,3.114
K_L_C,2019,K,C,30,L,2.713,2.634
